state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
41,138,2,0,0,0,127.1,102,21.61,247.7,106,21.05,207.7,75,9.35,5.0,3,1.35,3
42,120,0,1,0,0,179.9,72,30.58,170.0,98,14.45,190.6,89,8.58,13.8,2,3.73,1
49,145,1,0,0,0,129.4,97,22.0,185.4,101,15.76,204.7,106,9.21,1.1,2,0.3,2
11,158,2,0,0,0,193.3,121,32.86,208.1,97,17.69,228.1,99,10.26,7.1,9,1.92,1
20,60,2,0,0,0,190.8,100,32.44,196.0,85,16.66,151.7,110,6.83,9.9,9,2.67,0
25,121,0,0,1,12,127.2,56,21.62,241.6,114,20.54,176.6,84,7.95,13.2,3,3.56,3
3,94,1,0,0,0,195.1,105,33.17,272.4,100,23.15,142.7,102,6.42,11.5,16,3.11,1
28,56,2,0,1,37,153.7,97,26.13,271.4,91,23.07,179.0,121,8.06,8.3,2,2.24,1
18,162,2,0,1,33,184.5,139,31.37,183.2,78,15.57,127.4,106,5.73,12.3,6,3.32,0
39,94,1,0,0,0,142.3,50,24.19,231.5,142,19.68,205.6,79,9.25,5.5,3,1.49,1
36,134,1,0,0,0,164.9,115,28.03,126.5,96,10.75,238.5,125,10.73,10.0,9,2.7,2
45,102,0,0,0,0,156.5,67,26.61,204.3,103,17.37,141.9,72,6.39,9.9,2,2.67,2
27,43,1,0,0,0,84.2,134,14.31,80.8,103,6.87,196.1,79,8.82,10.8,2,2.92,1
24,60,0,0,0,0,162.8,117,27.68,163.2,121,13.87,242.4,140,10.91,14.2,2,3.83,1
1,42,2,0,0,0,160.2,103,27.23,159.8,116,13.58,255.7,87,11.51,12.9,3,3.48,1
10,85,2,0,0,0,222.3,132,37.79,231.5,101,19.68,223.5,75,10.06,11.0,2,2.97,3
20,189,1,0,1,30,155.2,116,26.38,195.5,50,16.62,170.1,108,7.65,15.4,6,4.16,1
22,81,1,0,0,0,153.5,99,26.1,197.6,102,16.8,198.5,86,8.93,6.3,2,1.7,2
0,121,0,0,1,34,245.0,95,41.65,216.9,66,18.44,112.4,125,5.06,7.5,8,2.03,0
8,30,1,0,1,30,217.4,74,36.96,213.8,86,18.17,227.2,104,10.22,6.6,3,1.78,0
18,128,1,0,0,0,148.5,105,25.25,243.0,106,20.66,255.2,114,11.48,6.8,2,1.84,1
13,89,1,0,1,15,274.0,83,46.58,192.2,97,16.34,125.9,141,5.67,11.9,2,3.21,0
22,112,2,0,0,0,243.4,77,41.38,182.1,97,15.48,259.2,94,11.66,12.8,2,3.46,1
29,86,0,0,0,0,83.8,121,14.25,240.2,96,20.42,158.6,108,7.14,6.7,8,1.81,1
49,172,1,0,0,0,211.7,100,35.99,198.7,101,16.89,301.7,136,13.58,6.5,9,1.76,1
34,120,2,0,1,27,128.5,115,21.85,163.7,91,13.91,242.9,121,10.93,0.0,0,0.0,1
22,225,1,0,0,0,165.4,106,28.12,273.7,109,23.26,210.0,93,9.45,8.7,3,2.35,0
7,87,1,0,1,18,124.3,104,21.13,196.1,80,16.67,290.0,110,13.05,7.2,3,1.94,1
44,89,1,0,0,0,89.7,80,15.25,179.8,81,15.28,145.7,120,6.56,9.5,4,2.57,2
43,82,1,0,0,0,130.0,110,22.1,185.3,88,15.75,178.7,105,8.04,8.3,4,2.24,0
50,37,2,0,1,33,225.7,133,38.37,223.9,115,19.03,192.7,131,8.67,11.2,5,3.02,3
20,136,1,0,0,0,252.4,74,42.91,167.9,81,14.27,248.3,110,11.17,10.7,3,2.89,2
27,38,0,0,0,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2
37,81,1,0,0,0,324.7,48,55.2,236.4,82,20.09,187.6,78,8.44,13.1,5,3.54,0
12,129,1,0,0,0,216.0,85,36.72,186.9,114,15.89,210.7,109,9.48,4.9,10,1.32,2
30,149,1,0,0,0,119.2,88,20.26,168.3,110,14.31,204.7,119,9.21,12.2,6,3.29,4
33,78,0,0,0,0,75.0,116,12.75,248.7,87,21.14,176.0,83,7.92,9.5,6,2.57,3
33,134,1,0,0,0,199.7,107,33.95,205.8,86,17.49,198.8,125,8.95,8.3,5,2.24,0
1,122,1,0,0,0,232.5,96,39.53,205.5,120,17.47,213.7,91,9.62,11.9,2,3.21,0
22,98,1,0,1,23,168.9,98,28.71,226.3,117,19.24,165.5,96,7.45,14.3,3,3.86,0
12,92,2,0,1,25,134.0,112,22.78,206.0,111,17.51,180.6,118,8.13,9.7,4,2.62,0
19,95,1,0,0,0,186.4,85,31.69,173.4,100,14.74,294.7,73,13.26,9.1,5,2.46,1
11,128,2,0,1,28,115.4,96,19.62,185.4,94,15.76,209.3,69,9.42,17.7,4,4.78,0
21,82,2,0,1,29,207.2,111,35.22,254.1,137,21.6,169.3,92,7.62,9.5,5,2.57,2
8,114,1,0,1,31,222.8,98,37.88,180.5,105,15.34,151.3,101,6.81,13.0,4,3.51,0
0,51,2,1,1,12,135.8,60,23.09,200.6,134,17.05,192.4,98,8.66,12.3,7,3.32,2
9,155,1,0,0,0,181.4,111,30.84,167.7,92,14.25,168.5,122,7.58,11.3,3,3.05,3
25,45,1,0,1,18,168.0,127,28.56,155.5,76,13.22,152.7,127,6.87,11.8,5,3.19,0
31,127,2,0,0,0,245.2,91,41.68,217.2,92,18.46,243.1,128,10.94,13.9,6,3.75,0
9,84,2,0,0,0,191.0,88,32.47,318.8,119,27.1,247.3,79,11.13,6.5,4,1.76,0
29,100,1,0,0,0,220.3,106,37.45,126.1,124,10.72,242.0,67,10.89,10.2,1,2.75,3
41,142,0,0,1,20,214.3,126,36.43,250.1,102,21.26,189.7,116,8.54,10.6,4,2.86,4
28,167,0,1,0,0,219.1,100,37.25,242.9,90,20.65,168.9,101,7.6,10.1,4,2.73,2
19,127,2,0,1,19,129.7,115,22.05,160.8,101,13.67,265.0,63,11.93,12.2,3,3.29,2
4,158,2,0,0,0,155.9,123,26.5,224.2,112,19.06,221.0,116,9.95,8.6,8,2.32,2
3,113,1,0,1,32,180.4,89,30.67,129.4,124,11.0,166.9,124,7.51,8.4,2,2.27,1
48,105,0,0,0,0,147.7,103,25.11,222.7,78,18.93,163.5,102,7.36,12.8,3,3.46,2
47,78,0,0,0,0,140.7,77,23.92,195.2,114,16.59,252.9,107,11.38,11.7,5,3.16,0
46,113,1,0,0,0,272.1,111,46.26,268.5,118,22.82,213.8,105,9.62,8.5,10,2.3,1
14,71,2,1,0,0,186.1,114,31.64,198.6,140,16.88,206.5,80,9.29,13.8,5,3.73,4
34,68,2,0,0,0,141.9,112,24.12,166.2,94,14.13,223.5,77,10.06,9.2,6,2.48,1
6,137,1,0,0,0,115.0,130,19.55,137.8,83,11.71,224.0,61,10.08,7.3,4,1.97,3
5,71,1,0,0,0,211.2,70,35.9,252.7,122,21.48,225.8,104,10.16,12.3,3,3.32,0
47,107,1,0,0,0,230.4,65,39.17,257.4,80,21.88,107.3,88,4.83,8.5,3,2.3,1
34,122,2,0,0,0,145.6,102,24.75,284.7,111,24.2,228.2,91,10.27,12.2,5,3.29,0
41,30,1,0,0,0,247.4,107,42.06,175.9,76,14.95,287.4,90,12.93,11.3,2,3.05,0
37,51,2,0,0,0,51.8,107,8.81,230.2,104,19.57,227.5,118,10.24,10.4,4,2.81,2
13,92,1,0,0,0,197.2,113,33.52,242.3,116,20.6,192.0,76,8.64,11.0,5,2.97,2
11,169,1,0,0,0,179.2,111,30.46,175.2,130,14.89,228.6,92,10.29,9.9,6,2.67,2
8,97,1,0,1,32,183.4,94,31.18,269.1,120,22.87,203.5,38,9.16,6.7,4,1.81,5
14,58,1,1,1,43,142.8,96,24.28,272.3,100,23.15,193.4,105,8.7,8.9,4,2.4,1
9,106,0,0,1,32,165.9,126,28.2,216.5,93,18.4,173.1,86,7.79,14.1,8,3.81,4
32,62,1,0,0,0,245.3,91,41.7,122.9,130,10.45,228.4,102,10.28,8.5,4,2.3,4
32,102,2,0,1,18,144.4,76,24.55,160.7,97,13.66,200.8,101,9.04,9.3,4,2.51,0
37,177,0,0,0,0,84.9,77,14.43,257.5,109,21.89,210.5,66,9.47,7.5,5,2.03,2
5,101,1,0,1,39,147.2,105,25.02,168.8,96,14.35,165.3,118,7.44,13.0,4,3.51,1
27,115,1,0,1,26,132.3,142,22.49,273.4,89,23.24,195.7,77,8.81,14.8,7,4.0,0
11,24,1,0,0,0,156.2,104,26.55,90.0,101,7.65,205.1,116,9.23,7.3,5,1.97,1
9,91,1,0,0,0,153.2,70,26.04,231.7,91,19.69,115.1,80,5.18,9.8,3,2.65,4
47,161,1,0,0,0,151.6,117,25.77,219.4,87,18.65,224.7,68,10.11,4.0,5,1.08,1
22,139,1,0,1,20,214.6,101,36.48,235.1,132,19.98,162.8,132,7.33,14.8,12,4.0,0
34,131,1,0,0,0,264.2,118,44.91,180.0,89,15.3,223.9,104,10.08,10.7,1,2.89,2
35,147,1,1,1,24,219.9,118,37.38,208.5,116,17.72,352.5,111,15.86,8.1,4,2.19,3
41,98,1,0,0,0,0.0,0,0.0,159.6,130,13.57,167.1,88,7.52,6.8,1,1.84,4
50,28,1,0,0,0,187.8,94,31.93,248.6,86,21.13,208.8,124,9.4,10.6,5,2.86,0
32,89,0,0,0,0,269.8,94,45.87,227.0,125,19.3,212.2,135,9.55,4.7,6,1.27,1
2,32,1,1,0,0,265.5,75,45.14,119.7,77,10.17,169.9,128,7.65,14.8,6,4.0,2
6,33,2,0,0,0,182.5,65,31.03,232.1,96,19.73,149.2,82,6.71,7.5,2,2.03,2
37,190,1,0,0,0,142.9,96,24.29,177.9,96,15.12,113.3,117,5.1,6.6,4,1.78,0
29,126,1,0,0,0,249.8,96,42.47,261.9,92,22.26,166.8,108,7.51,12.7,4,3.43,3
10,71,1,0,0,0,258.4,132,43.93,126.8,119,10.78,182.4,87,8.21,9.7,8,2.62,4
38,53,1,0,0,0,205.1,86,34.87,160.5,95,13.64,149.5,142,6.73,10.7,2,2.89,3
15,65,0,0,0,0,207.7,109,35.31,217.5,117,18.49,125.6,111,5.65,8.0,5,2.16,1
42,125,1,0,0,0,138.5,96,23.55,159.7,117,13.57,212.7,91,9.57,7.7,3,2.08,2
49,130,2,0,0,0,110.0,107,18.7,181.9,85,15.46,208.0,94,9.36,11.7,3,3.16,1
3,106,0,0,0,0,273.8,120,46.55,149.3,104,12.69,193.9,127,8.73,11.2,3,3.02,0
20,29,2,0,0,0,195.6,71,33.25,126.4,74,10.74,148.6,87,6.69,14.2,4,3.83,1
43,98,2,0,0,0,86.1,78,14.64,222.7,130,18.93,155.0,124,6.98,9.0,7,2.43,0
50,111,1,0,0,0,222.2,96,37.77,162.5,111,13.81,184.9,120,8.32,11.9,7,3.21,4
11,137,2,0,1,20,268.5,91,45.65,128.8,121,10.95,146.4,98,6.59,12.7,6,3.43,1
15,117,1,1,1,22,196.0,82,33.32,322.7,82,27.43,225.6,120,10.15,3.7,5,1.0,1
2,72,1,0,1,27,111.7,68,18.99,252.8,106,21.49,255.5,109,11.5,7.8,4,2.11,1
16,138,2,0,1,26,183.9,83,31.26,240.7,93,20.46,185.7,125,8.36,15.0,3,4.05,1
48,95,1,0,0,0,198.9,101,33.81,209.7,91,17.82,145.3,55,6.54,11.4,4,3.08,1
37,161,1,0,0,0,105.4,70,17.92,214.8,122,18.26,223.6,126,10.06,7.8,5,2.11,0
44,188,0,0,0,0,231.1,92,39.29,182.4,93,15.5,227.2,89,10.22,9.8,5,2.65,4
34,116,2,0,0,0,89.5,128,15.22,180.8,137,15.37,193.1,94,8.69,14.0,3,3.78,2
18,128,1,0,0,0,147.7,94,25.11,283.3,83,24.08,188.3,124,8.47,6.9,5,1.86,2
43,38,2,0,0,0,149.0,92,25.33,49.2,78,4.18,163.3,93,7.35,13.9,11,3.75,0
5,89,1,0,0,0,94.5,107,16.07,191.8,85,16.3,196.2,131,8.83,15.0,5,4.05,1
49,167,2,0,0,0,191.5,93,32.56,163.8,76,13.92,189.1,103,8.51,14.1,9,3.81,1
20,74,1,0,0,0,155.7,116,26.47,173.7,63,14.76,257.4,97,11.58,8.1,4,2.19,0
46,109,1,0,0,0,134.3,99,22.83,203.9,103,17.33,297.7,91,13.4,7.6,2,2.05,3
42,163,2,0,0,0,277.7,118,47.21,115.3,91,9.8,170.3,90,7.66,10.4,8,2.81,0
33,96,0,0,0,0,197.7,68,33.61,250.5,53,21.29,181.2,67,8.15,10.5,3,2.84,3
5,81,0,0,0,0,115.3,99,19.6,224.7,117,19.1,152.5,98,6.86,18.0,2,4.86,1
38,52,0,0,0,0,215.9,67,36.7,217.0,108,18.45,342.8,130,15.43,5.2,2,1.4,1
47,100,0,0,0,0,70.8,94,12.04,215.6,102,18.33,230.8,125,10.39,9.5,1,2.57,6
18,96,2,0,0,0,182.6,75,31.04,188.6,67,16.03,137.7,81,6.2,9.5,3,2.57,5
50,63,1,0,0,0,120.1,103,20.42,179.2,132,15.23,127.3,82,5.73,6.3,4,1.7,1
46,117,0,1,0,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2
33,90,1,0,0,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1
22,137,2,0,0,0,206.4,122,35.09,128.0,102,10.88,194.5,84,8.75,8.8,5,2.38,2
36,82,2,0,0,0,329.8,73,56.07,208.3,120,17.71,267.1,102,12.02,10.6,6,2.86,0
41,116,1,0,0,0,63.7,101,10.83,195.8,95,16.64,210.1,87,9.45,10.0,6,2.7,1
15,84,0,0,0,0,217.1,99,36.91,236.0,68,20.06,118.3,120,5.32,9.4,4,2.54,1
